id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,hate that i made you love me,Ariana Grande,pop,melancholy,0.449,96.012,0.449,0.633,0.692
2,concatenate (Interlude),drēokt,lofi,melancholy,0.168,120.211,0.0355,0.38,0.988
3,Mr. Brightside,The Killers,rock,intense,0.911,148.033,0.236,0.352,0.00121
4,05,Noto,ambient,melancholy,0.48,0,0,0,0.00122
5,Falling Behind,Laufey,jazz,chill,0.353,165.888,0.55,0.449,0.942
6,Tá Legal II,Hari Maia,synthwave,energetic,0.708,94.528,0.569,0.549,0.175
7,End of Beginning,Djo,indie pop,chill,0.454,159.982,0.912,0.689,0.0351
8,Traffic Jam,Slow Fresh Oil,edm,melancholy,0.0628,108.1,0,0.717,0.861
9,Choosin' Texas,Ella Langley,country,intense,0.781,112.03,0.488,0.683,0.0092
10,NOBLE,F3miii,r&b,energetic,0.705,93.02,0.533,0.54,0.0741
11,In the End,Linkin Park,metal,intense,0.864,105.143,0.4,0.556,0.00958
12,Stick Season,Noah Kahan,folk,energetic,0.5,117.896,0.801,0.664,0.799
13,Man I Need,Olivia Dean,soul,energetic,0.593,119.008,0.688,0.808,0.488
14,Perdoname Mi Amor,Magico,hip-hop,energetic,0.633,90.087,0.815,0.625,0.142
15,DtMF,Bad Bunny,latin,melancholy,0.131,136.02,0.032,0.625,0.177
16,Harpy Hare,Yaelokre,classical,intense,0.531,130.024,0.347,0.644,0.642
17,My Own Worst Enemy,Lit,punk,energetic,0.946,103.408,0.741,0.494,0.00129
